,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
"b'\xf6S\xb4\x80I,\xae\xe1L\xdf\x12J9R\xc5\xfc\x1d\xa4\x96\x12>\x8e\x927@\xd0\xeb\xa8\xea3Al'",Aerospace Club,Amnesty International UBCO,Backcountry Hunters & Anglers,Badminton Club,Ballroom Dance Club,Bangladeshi Students (ABS),Blood Club of UBCO,Concrete Toboggan Club (GNCTR),Design Club,Enactus UBCO,Formula 1 Club,Golf Club,Heatwave Radio,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Japanese Culture Club,Kelowna Ismaili Student Association,Mental Health Awareness and Advocacy Club (MHAAC),Pink Backpack Club,Power to Change,Pre-Law Society,Pre-Med Club,Rock N Roll Club,Sisu UBCO,South East Asian Club,Sport Programming Club,UNICEF,University Christian Ministries,Urban Dance Club,Vegan Club,Video Game Development Club,Biochemistry Course Union,Chemistry Course Union (CCU),Earth and Environmental Sciences Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Human Kinetics Student Association,Management Student Association - Consulting Club,Management Student Association - Human Resources Club,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Social Work Course Union,African Caribbean Student Club,Asian Student Association,Astronomy Club,Beats,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Cricket Club,Debate Society,Filipino Student Association,Girls in Tech,Golden Key International Honour Society,Grow n Glow Club,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,JDC West,Model United Nations Club,Motorsports Club,Mountain Riders Club,MySmallHelp UBCO,NDP Club,Pakistan Students Association,Persian Students' Club,Photography Association,Pre-Dental Society,Punjabi Student Association,Relay for Life Club,South Asian Students Association,StockX Club,Thai Erawan Club,Wildlife Society UBCO Student Chapter,Women in Engineering,Yoga Club,Geography Course Union,Management Student Association (MSA),Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,Management Student Association - Marketing Club,Psychology Course Union,Quantitative Sciences Course Union,Visual Arts Course Union,Age Link,BC Young Liberals,Bible Discussion Club,Billiards Club,Games Club,Global Brigades Club,International Relations Student Association,Medieval Club,Muslim Students Association,Nourishing Futures,Sex Positivity Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Web Development Club,Weightlifting Club UBCO,Computer Science Course Union,Bhangra Club,Christina Noble Foundation UBCO,French Club,Nepalese Scholars' Association,Latin American Student Organization,Varsity Outdoor Club Okanagan,Young Greens of UBCO,Esports Association,Student Independent Research Club,Nursing Course Union
"b'\xca\x05\xf2\x00\x02?\xf3\x93""q@\x10\x018\xd9\xa7\x8a\xca\xa9Wu\x87>dk\x1b\xe0\xcb\xdcw\xc1\xb1'",Billiards Club,Concrete Toboggan Club (GNCTR),Golden Key International Honour Society,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Japanese Culture Club,Punjabi Student Association,Sport Programming Club,UNICEF,University Christian Ministries,Urban Dance Club,Video Game Development Club,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Social Work Course Union,Amnesty International UBCO,Bangladeshi Students (ABS),Blood Club of UBCO,Canadian Students for Sensible Drug Policy (CSSDP),Design Club,Golf Club,Hong Kong Student Club,Horror Movie Club,iGEM UBCO,Motorsports Club,Mountain Riders Club,Nepalese Scholars' Association,Photography Association,Power to Change,Yoga Club,Biochemistry Course Union,Geography Course Union,Quantitative Sciences Course Union,Badminton Club,Formula 1 Club,Ice Cream Club,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,JDC West,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),MySmallHelp UBCO,NDP Club,Sisu UBCO,South East Asian Club,Thai Erawan Club,Vegan Club,Women in Engineering,Computer Science Course Union,Environmental Chemistry Course Union,Visual Arts Course Union,African Caribbean Student Club,Ballroom Dance Club,Chinese Students and Scholars Association,Debate Society,Filipino Student Association,Girls in Tech,Hope Club UBCO,Muslim Students Association,Pink Backpack Club,Relay for Life Club,Rock N Roll Club,Chemistry Course Union (CCU),Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,Aerospace Club,Bible Discussion Club,Global Brigades Club,Indian Culture and Dance Club,Pre-Dental Society,Sex Positivity Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Young Greens of UBCO,Human Kinetics Student Association,Management Student Association - Human Resources Club,BC Young Liberals,Beats,Grow n Glow Club,Heatwave Radio,International Relations Student Association,Latin American Student Organization,Model United Nations Club,Nourishing Futures,Pakistan Students Association,Wildlife Society UBCO Student Chapter,Management Student Association (MSA),Management Student Association - Consulting Club,Management Student Association - Marketing Club,Age Link,Backcountry Hunters & Anglers,Cricket Club,French Club,Kelowna Ismaili Student Association,Pre-Law Society,Pre-Med Club,South Asian Students Association,Web Development Club,Psychology Course Union,Astronomy Club,Enactus UBCO,Esports Association,Games Club,Weightlifting Club UBCO,Asian Student Association,StockX Club,Persian Students' Club,Varsity Outdoor Club Okanagan,Student Independent Research Club,Nursing Course Union,Bhangra Club,Christina Noble Foundation UBCO
b'\x84\xc1z\xdb\xba\xf0\x14\x1c\xfcg\x90OMO\xc5\xbe\xbc\xf1\xd1\xea\xf9 ei\xd1\xa6\xbf\x01sq\x05f',Blood Club of UBCO,Concrete Toboggan Club (GNCTR),Golden Key International Honour Society,Hope Club UBCO,Ice Cream Club,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Jack.org UBCO Chapter,JDC West,Power to Change,Punjabi Student Association,Rock N Roll Club,UNICEF,Urban Dance Club,Video Game Development Club,Engineering Society at UBC,Environmental Chemistry Course Union,Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Social Work Course Union,Visual Arts Course Union,Aerospace Club,Age Link,Amnesty International UBCO,Bangladeshi Students (ABS),Bible Discussion Club,Filipino Student Association,Formula 1 Club,Golf Club,Hong Kong Student Club,Horror Movie Club,iGEM UBCO,Indian Culture and Dance Club,Japanese Culture Club,Photography Association,Sport Programming Club,Thai Erawan Club,University Christian Ministries,Web Development Club,Weightlifting Club UBCO,Biochemistry Course Union,Earth and Environmental Sciences Course Union,Human Kinetics Student Association,African Caribbean Student Club,Badminton Club,Ballroom Dance Club,Billiards Club,Canadian Students for Sensible Drug Policy (CSSDP),Design Club,Esports Association,Heatwave Radio,International Relations Student Association,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,Motorsports Club,Muslim Students Association,MySmallHelp UBCO,Nepalese Scholars' Association,Pre-Dental Society,Pre-Med Club,Sex Positivity Club,Sisu UBCO,South East Asian Club,StockX Club,Varsity Outdoor Club Okanagan,Wildlife Society UBCO Student Chapter,Women in Engineering,Yoga Club,Young Greens of UBCO,Chemistry Course Union (CCU),Geography Course Union,Quantitative Sciences Course Union,Chinese Students and Scholars Association,Christina Noble Foundation UBCO,Cricket Club,Debate Society,Grow n Glow Club,Kelowna Ismaili Student Association,Latin American Student Organization,Mountain Riders Club,NDP Club,Nourishing Futures,Pink Backpack Club,Vegan Club,Computer Science Course Union,Management Student Association (MSA),Management Student Association - Human Resources Club,Nursing Course Union,Astronomy Club,Backcountry Hunters & Anglers,BC Young Liberals,Beats,Bhangra Club,Girls in Tech,Global Brigades Club,Medieval Club,Persian Students' Club,Relay for Life Club,South Asian Students Association,Management Student Association - Marketing Club,Psychology Course Union,Enactus UBCO,Games Club,Pre-Law Society,Management Student Association - Consulting Club,French Club,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Pakistan Students Association,Asian Student Association
b'\xeb\xd8\xd6p\r\x8d1\x9a\xc3\xaa\xa4sK\xab2\xbc>v/]\xce\x91dj8]\xf1y\x19\xacQ\x98',Aerospace Club,Amnesty International UBCO,Backcountry Hunters & Anglers,Badminton Club,Bangladeshi Students (ABS),Blood Club of UBCO,Concrete Toboggan Club (GNCTR),Formula 1 Club,Heatwave Radio,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Japanese Culture Club,Mental Health Awareness and Advocacy Club (MHAAC),Photography Association,Pink Backpack Club,Power to Change,Pre-Med Club,Rock N Roll Club,Sport Programming Club,UNICEF,University Christian Ministries,Urban Dance Club,Video Game Development Club,Biochemistry Course Union,Chemistry Course Union (CCU),Earth and Environmental Sciences Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Social Work Course Union,Age Link,Ballroom Dance Club,Billiards Club,Canadian Students for Sensible Drug Policy (CSSDP),Cricket Club,Debate Society,Design Club,Golf Club,Hong Kong Student Club,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,JDC West,Kelowna Ismaili Student Association,Motorsports Club,Mountain Riders Club,MySmallHelp UBCO,NDP Club,Nourishing Futures,Pakistan Students Association,Pre-Dental Society,Pre-Law Society,Punjabi Student Association,Sex Positivity Club,Sisu UBCO,South East Asian Club,StockX Club,Vegan Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Yoga Club,Human Kinetics Student Association,Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,Psychology Course Union,Quantitative Sciences Course Union,Visual Arts Course Union,African Caribbean Student Club,Astronomy Club,Beats,Bible Discussion Club,Chinese Students and Scholars Association,Christina Noble Foundation UBCO,Enactus UBCO,Filipino Student Association,Games Club,Girls in Tech,Global Brigades Club,Grow n Glow Club,International Relations Student Association,Medieval Club,Model United Nations Club,South Asian Students Association,Thai Erawan Club,Web Development Club,Women in Engineering,Computer Science Course Union,Geography Course Union,Management Student Association - Consulting Club,Management Student Association - Human Resources Club,Bhangra Club,Golden Key International Honour Society,Latin American Student Organization,Persian Students' Club,Relay for Life Club,Varsity Outdoor Club Okanagan,Young Greens of UBCO,Management Student Association (MSA),Management Student Association - Marketing Club,BC Young Liberals,Esports Association,French Club,Muslim Students Association,Nepalese Scholars' Association,Student Independent Research Club,Asian Student Association,Students for Healthy Alternatives and Risk Prevention (SHARP),Nursing Course Union
b'\x9dE\xe3w\xe4LHG\x13\xd4\xc7d\xea\x82I(\x0bQ\x1e~\x97\xe0\x15\x11\x00\x88\xaa\xe7V\x98\xaf\xf1',African Caribbean Student Club,Amnesty International UBCO,Bangladeshi Students (ABS),Billiards Club,Blood Club of UBCO,Concrete Toboggan Club (GNCTR),Design Club,Esports Association,Filipino Student Association,Girls in Tech,Golden Key International Honour Society,Golf Club,Hong Kong Student Club,Horror Movie Club,Ice Cream Club,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Latin American Student Organization,Motorsports Club,Muslim Students Association,Nepalese Scholars' Association,Photography Association,Power to Change,Punjabi Student Association,Relay for Life Club,Sex Positivity Club,Sisu UBCO,South East Asian Club,Sport Programming Club,UNICEF,University Christian Ministries,Urban Dance Club,Vegan Club,Video Game Development Club,Yoga Club,Young Greens of UBCO,Computer Science Course Union,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Geography Course Union,Management Student Association - Human Resources Club,Management Student Association - Marketing Club,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Social Work Course Union,Visual Arts Course Union,Aerospace Club,Age Link,Badminton Club,BC Young Liberals,Beats,Bible Discussion Club,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Cricket Club,Formula 1 Club,French Club,Games Club,Global Brigades Club,Grow n Glow Club,Hope Club UBCO,iGEM UBCO,Indian Culture and Dance Club,International Relations Student Association,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,Mountain Riders Club,NDP Club,Nourishing Futures,Pre-Dental Society,Rock N Roll Club,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Thai Erawan Club,Web Development Club,Women in Engineering,Biochemistry Course Union,Chemistry Course Union (CCU),Environmental Chemistry Course Union,Human Kinetics Student Association,Management Student Association (MSA),Management Student Association - Accounting Club,Nursing Course Union,Asian Student Association,Ballroom Dance Club,Heatwave Radio,Kelowna Ismaili Student Association,Persian Students' Club,Pre-Law Society,Varsity Outdoor Club Okanagan,Weightlifting Club UBCO,Psychology Course Union,Debate Society,Pakistan Students Association,Pink Backpack Club,Pre-Med Club,South Asian Students Association,Wildlife Society UBCO Student Chapter,Management Student Association - Entrepreneur Club,Astronomy Club,Backcountry Hunters & Anglers,Bhangra Club,Enactus UBCO,MySmallHelp UBCO,Management Student Association - Consulting Club,StockX Club,Christina Noble Foundation UBCO
b'\xe5\xdc\x92:\xd7\xf9jg\xfab\xd2\xf5`\x0f\xa8\xc6X\xc7\x04\x12\x92\xea}\xda1\xe8Z\xe0 \x1cn\xb7',Aerospace Club,Age Link,Amnesty International UBCO,Backcountry Hunters & Anglers,Badminton Club,Bangladeshi Students (ABS),BC Young Liberals,Beats,Bhangra Club,Bible Discussion Club,Billiards Club,Blood Club of UBCO,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Christina Noble Foundation UBCO,Concrete Toboggan Club (GNCTR),Cricket Club,Design Club,Enactus UBCO,Esports Association,Filipino Student Association,Formula 1 Club,French Club,Girls in Tech,Golden Key International Honour Society,Golf Club,Grow n Glow Club,Heatwave Radio,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",International Relations Student Association,iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Kelowna Ismaili Student Association,Latin American Student Organization,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,Motorsports Club,Mountain Riders Club,NDP Club,Nepalese Scholars' Association,Nourishing Futures,Pakistan Students Association,Persian Students' Club,Photography Association,Power to Change,Pre-Dental Society,Pre-Law Society,Punjabi Student Association,Relay for Life Club,Rock N Roll Club,Sex Positivity Club,Sisu UBCO,South East Asian Club,Sport Programming Club,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Thai Erawan Club,UNICEF,University Christian Ministries,Urban Dance Club,Varsity Outdoor Club Okanagan,Vegan Club,Video Game Development Club,Weightlifting Club UBCO,Women in Engineering,Yoga Club,Young Greens of UBCO,Biochemistry Course Union,Chemistry Course Union (CCU),Computer Science Course Union,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Human Kinetics Student Association,Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,Management Student Association - Marketing Club,Microbiology Course Union,Nursing Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Psychology Course Union,Quantitative Sciences Course Union,Social Work Course Union,Visual Arts Course Union,African Caribbean Student Club,Asian Student Association,Astronomy Club,Debate Society,Games Club,Global Brigades Club,Muslim Students Association,Pink Backpack Club,Pre-Med Club,South Asian Students Association,StockX Club,Web Development Club,Wildlife Society UBCO Student Chapter,Management Student Association (MSA),Management Student Association - Consulting Club,Management Student Association - Human Resources Club,Ballroom Dance Club,MySmallHelp UBCO
b'\x13\xab\xdb\xfa{\xf4&15\xf2E\xc8\x92\x97\xff\xd4\x94\xf0\xa1\xc81\xa9\x1d\xff\xd3\xf5\xda\x0b\x85y`p',Amnesty International UBCO,Bangladeshi Students (ABS),Blood Club of UBCO,Design Club,Golf Club,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),Japanese Culture Club,Mental Health Awareness and Advocacy Club (MHAAC),Power to Change,South East Asian Club,Sport Programming Club,Students for Healthy Alternatives and Risk Prevention (SHARP),UNICEF,University Christian Ministries,Urban Dance Club,Video Game Development Club,Biochemistry Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Microbiology Course Union,Social Work Course Union,Aerospace Club,African Caribbean Student Club,Badminton Club,Ballroom Dance Club,Chinese Students and Scholars Association,Concrete Toboggan Club (GNCTR),Filipino Student Association,Formula 1 Club,Hong Kong Student Club,Hope Club UBCO,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",It's Lit! Club,Jack.org UBCO Chapter,JDC West,Motorsports Club,Muslim Students Association,Nepalese Scholars' Association,Photography Association,Pink Backpack Club,Pre-Law Society,Punjabi Student Association,Relay for Life Club,Sisu UBCO,Women in Engineering,Yoga Club,Chemistry Course Union (CCU),Earth and Environmental Sciences Course Union,Human Kinetics Student Association,Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Visual Arts Course Union,Age Link,BC Young Liberals,Beats,Bible Discussion Club,Billiards Club,Canadian Students for Sensible Drug Policy (CSSDP),Enactus UBCO,French Club,Global Brigades Club,Heatwave Radio,International Relations Student Association,Kelowna Ismaili Student Association,Medieval Club,Mountain Riders Club,NDP Club,Nourishing Futures,Pakistan Students Association,Pre-Dental Society,Pre-Med Club,Rock N Roll Club,Vegan Club,Web Development Club,Computer Science Course Union,Management Student Association (MSA),Management Student Association - Human Resources Club,Management Student Association - Marketing Club,Backcountry Hunters & Anglers,Cricket Club,Debate Society,Girls in Tech,Golden Key International Honour Society,Grow n Glow Club,Model United Nations Club,MySmallHelp UBCO,Persian Students' Club,Sex Positivity Club,South Asian Students Association,StockX Club,Thai Erawan Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Psychology Course Union,Asian Student Association,Games Club,Latin American Student Organization,Young Greens of UBCO,Management Student Association - Consulting Club,Astronomy Club,Bhangra Club,Varsity Outdoor Club Okanagan,Christina Noble Foundation UBCO,Esports Association,Student Independent Research Club,Nursing Course Union
b'<\xbe\xd5M\xfcN\x8c\xderh\xd1n \r\xb5)\xce\x04\xa9\x0b\x82\xc4h\xc5@\xf0\xc1\xe5\xfc46\xdd',African Caribbean Student Club,Ballroom Dance Club,Blood Club of UBCO,Golf Club,Ice Cream Club,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),Mental Health Awareness and Advocacy Club (MHAAC),Nepalese Scholars' Association,Photography Association,Power to Change,Relay for Life Club,Sisu UBCO,South East Asian Club,UNICEF,Urban Dance Club,Video Game Development Club,Engineering Society at UBC,Geography Course Union,Microbiology Course Union,Amnesty International UBCO,Bible Discussion Club,Billiards Club,Concrete Toboggan Club (GNCTR),Design Club,Filipino Student Association,Golden Key International Honour Society,Hong Kong Student Club,Horror Movie Club,iGEM UBCO,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Motorsports Club,Muslim Students Association,MySmallHelp UBCO,Punjabi Student Association,University Christian Ministries,Yoga Club,Computer Science Course Union,Management Student Association - Accounting Club,Management Student Association - Marketing Club,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Visual Arts Course Union,Aerospace Club,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Debate Society,Formula 1 Club,French Club,Girls in Tech,Indian Culture and Dance Club,International Relations Student Association,Medieval Club,NDP Club,Pink Backpack Club,Vegan Club,Earth and Environmental Sciences Course Union,Environmental Chemistry Course Union,Social Work Course Union,Bangladeshi Students (ABS),BC Young Liberals,Beats,Global Brigades Club,Grow n Glow Club,Hope Club UBCO,It's Lit! Club,Pre-Dental Society,Pre-Law Society,Sport Programming Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Thai Erawan Club,Wildlife Society UBCO Student Chapter,Young Greens of UBCO,Biochemistry Course Union,Chemistry Course Union (CCU),Human Kinetics Student Association,Management Student Association (MSA),Asian Student Association,Badminton Club,Kelowna Ismaili Student Association,Latin American Student Organization,Model United Nations Club,Mountain Riders Club,Nourishing Futures,Rock N Roll Club,Sex Positivity Club,South Asian Students Association,Weightlifting Club UBCO,Women in Engineering,Management Student Association - Consulting Club,Management Student Association - Human Resources Club,Psychology Course Union,Games Club,Persian Students' Club,Web Development Club,Management Student Association - Entrepreneur Club,Age Link,Backcountry Hunters & Anglers,Cricket Club,Heatwave Radio,Pakistan Students Association,Pre-Med Club,Varsity Outdoor Club Okanagan,Enactus UBCO,StockX Club,Nursing Course Union,Astronomy Club,Student Independent Research Club,Bhangra Club,Esports Association,Christina Noble Foundation UBCO
b'\x97\xe3c\xe2\xe9N\xdaM\x1dqv~(\xd3\xb0AM\xddU\xda\xb9`\xa0\xbf?|\x92\xf8\xda\x14\x16\\',Aerospace Club,African Caribbean Student Club,Age Link,Amnesty International UBCO,Asian Student Association,Astronomy Club,Backcountry Hunters & Anglers,Badminton Club,Ballroom Dance Club,Bhangra Club,Billiards Club,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Concrete Toboggan Club (GNCTR),Cricket Club,Debate Society,Design Club,Enactus UBCO,Esports Association,Filipino Student Association,Formula 1 Club,French Club,Girls in Tech,Global Brigades Club,Golden Key International Honour Society,Golf Club,Heatwave Radio,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Kelowna Ismaili Student Association,Latin American Student Organization,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,Motorsports Club,Mountain Riders Club,Muslim Students Association,MySmallHelp UBCO,NDP Club,Nepalese Scholars' Association,Nourishing Futures,Pakistan Students Association,Persian Students' Club,Photography Association,Pink Backpack Club,Pre-Dental Society,Pre-Law Society,Pre-Med Club,Punjabi Student Association,Relay for Life Club,Sex Positivity Club,Sisu UBCO,South Asian Students Association,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Thai Erawan Club,UNICEF,University Christian Ministries,Vegan Club,Video Game Development Club,Web Development Club,Women in Engineering,Yoga Club,Young Greens of UBCO,Biochemistry Course Union,Chemistry Course Union (CCU),Computer Science Course Union,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Human Kinetics Student Association,Management Student Association (MSA),Management Student Association - Consulting Club,Management Student Association - Human Resources Club,Management Student Association - Marketing Club,Microbiology Course Union,Psychology Course Union,Social Work Course Union,Visual Arts Course Union,Bangladeshi Students (ABS),BC Young Liberals,Beats,Bible Discussion Club,Blood Club of UBCO,Christina Noble Foundation UBCO,Games Club,Grow n Glow Club,Indian Culture and Dance Club,International Relations Student Association,Power to Change,Rock N Roll Club,South East Asian Club,Sport Programming Club,StockX Club,Urban Dance Club,Varsity Outdoor Club Okanagan,Wildlife Society UBCO Student Chapter,Management Student Association - Entrepreneur Club,Nursing Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Weightlifting Club UBCO,Management Student Association - Accounting Club
b'\xc0\xf6lD)\xe8\x87\xc2\ry\x00\xf8\x8c#Q\xa7\xed\xbb\x95\xc6\x18\xa3\xcc\xc0e\xde\xb5\xaf\xb1\xcb\x90\xf5',Age Link,Bangladeshi Students (ABS),Billiards Club,Blood Club of UBCO,Esports Association,Golden Key International Honour Society,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Latin American Student Organization,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,MySmallHelp UBCO,Pink Backpack Club,Power to Change,Punjabi Student Association,Sport Programming Club,UNICEF,University Christian Ministries,Urban Dance Club,Video Game Development Club,Women in Engineering,Yoga Club,Biochemistry Course Union,Computer Science Course Union,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Geography Course Union,Microbiology Course Union,Quantitative Sciences Course Union,Social Work Course Union,Visual Arts Course Union,Aerospace Club,African Caribbean Student Club,Amnesty International UBCO,Ballroom Dance Club,Bible Discussion Club,Chinese Students and Scholars Association,Concrete Toboggan Club (GNCTR),Debate Society,Formula 1 Club,Heatwave Radio,International Relations Student Association,It's Lit! Club,Nourishing Futures,Photography Association,Pre-Dental Society,Pre-Med Club,Rock N Roll Club,Thai Erawan Club,Chemistry Course Union (CCU),Environmental Chemistry Course Union,Management Student Association - Accounting Club,"Philosophy, Politics, and Economics (PPE) Course Union",Badminton Club,Beats,Canadian Students for Sensible Drug Policy (CSSDP),Cricket Club,Design Club,Filipino Student Association,Golf Club,Indian Culture and Dance Club,Pre-Law Society,Sex Positivity Club,South Asian Students Association,South East Asian Club,StockX Club,Varsity Outdoor Club Okanagan,Web Development Club,Weightlifting Club UBCO,Young Greens of UBCO,Human Kinetics Student Association,Management Student Association (MSA),Astronomy Club,Bhangra Club,Christina Noble Foundation UBCO,Games Club,Global Brigades Club,Hong Kong Student Club,Model United Nations Club,Mountain Riders Club,Nepalese Scholars' Association,Pakistan Students Association,Sisu UBCO,Student Independent Research Club,Wildlife Society UBCO Student Chapter,Management Student Association - Entrepreneur Club,Backcountry Hunters & Anglers,Medieval Club,Relay for Life Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Vegan Club,Nursing Course Union,Psychology Course Union,BC Young Liberals,Enactus UBCO,Girls in Tech,Grow n Glow Club,Kelowna Ismaili Student Association,Muslim Students Association,NDP Club,Management Student Association - Marketing Club,Persian Students' Club,Management Student Association - Consulting Club,Management Student Association - Human Resources Club,French Club,Asian Student Association
